ANMUT-C	340.0	380.0	340.0	380.0
AU1148G36	380.0	420.0	760.0	840.0
AU2958A	355.0	395.0	710.0	790.0
AU2958G	355.0	395.0	710.0	790.0
AU2958H	355.0	395.0	710.0	790.0
AU3086	330.0	370.0	660.0	740.0
AU3426	342.5	382.5	685.0	765.0
AU3426 WIDE	342.5	382.5	685.0	765.0
AU3426H	342.5	382.5	685.0	765.0
AU4398	330.0	370.0	660.0	740.0
AU4583	355.0	395.0	710.0	790.0
AU4583 210	355.0	395.0	710.0	790.0
AU4782	355.0	395.0	710.0	790.0
AU4782DREP	355.0	395.0	710.0	790.0
AU4782K	355.0	395.0	710.0	790.0
AU5429D	367.5	407.5	735.0	815.0
AU5429H	367.5	407.5	735.0	815.0
AU6563	330.0	370.0	660.0	740.0
AU6953	355.0	395.0	710.0	790.0
AU7130	367.5	407.5	735.0	815.0
AU7368H	342.5	382.5	685.0	765.0
AU7389G	342.5	382.5	685.0	765.0
AU7389H	342.5	382.5	685.0	765.0
AU7529	330.0	370.0	660.0	740.0
AU7538B	330.0	370.0	330.0	370.0
AU7614-BKAN	330.0	370.0	660.0	740.0
AU7614-CGAN	330.0	370.0	660.0	740.0
AU7614CLG-186	330.0	370.0	660.0	740.0
AUSR7980	330.0	370.0	660.0	740.0
